流水序,教育部字號,Unicode,常用字,
205,A00205,504c,偌,偌
206,A00206,505a,做,做
207,A00207,5049,偉,伟
208,A00208,5065,健,健
209,A00209,5076,偶,偶
210,A00210,504e,偎,偎
211,A00211,5055,偕,偕
212,A00212,5075,偵,侦
213,A00213,5074,側,侧
214,A00214,5077,偷,偷
215,A00215,504f,偏,偏
216,A00216,500f,倏,倏
217,A00217,50a2,傢,家
218,A00218,508d,傍,傍
219,A00219,5085,傅,傅
220,A00220,5099,備,备
221,A00221,5091,傑,杰
222,A00222,5080,傀,傀
223,A00223,5096,傖,伧
224,A00224,5098,傘,伞
225,A00225,50ad,傭,佣
226,A00226,50b5,債,债
227,A00227,50b2,傲,傲
228,A00228,50b3,傳,传
229,A00229,50c5,僅,仅
230,A00230,50be,傾,倾
231,A00231,50ac,催,催
232,A00232,50b7,傷,伤
233,A00233,50bb,傻,傻
234,A00234,50af,傯,偬
235,A00235,50e7,僧,僧
236,A00236,50ee,僮,童
237,A00237,50e5,僥,侥
238,A00238,50d6,僖,僖
239,A00239,50ed,僭,僭
240,A00240,50da,僚,僚
241,A00241,50d5,僕,仆
242,A00242,50cf,像,像
243,A00243,50d1,僑,侨
244,A00244,50f1,僱,雇
245,A00245,5104,億,亿
246,A00246,5100,儀,仪
247,A00247,50fb,僻,僻
248,A00248,50f5,僵,僵
249,A00249,50f9,價,价
250,A00250,5102,儂,侬
251,A00251,5108,儈,侩
252,A00252,5109,儉,俭
253,A00253,5112,儒,儒
254,A00254,5118,儘,尽
255,A00255,5114,儔,俦
256,A00256,5110,儐,傧
257,A00257,512a,優,优
258,A00258,511f,償,偿
259,A00259,5121,儡,儡
260,A00260,5132,儲,储
261,A00261,5137,儷,俪
262,A00262,513c,儼,俨
263,A00263,5140,兀,兀
264,A00264,5143,元,元
265,A00265,5141,允,允
266,A00266,5145,充,充
267,A00267,5144,兄,兄
268,A00268,5149,光,光
269,A00269,5147,兇,凶
270,A00270,5146,兆,兆
271,A00271,5148,先,先
272,A00272,514c,兌,兑
273,A00273,514b,克,克
274,A00274,5155,兕,兕
275,A00275,514d,免,免
276,A00276,5154,兔,兔
277,A00277,5152,兒,儿
278,A00278,5157,兗,兖
279,A00279,515c,兜,兜
280,A00280,5162,兢,兢
281,A00281,5165,入,入
282,A00282,5167,內,内
283,A00283,5168,全,全
284,A00284,5169,兩,两
285,A00285,516b,八,八
286,A00286,516d,六,六
287,A00287,516e,兮,兮
288,A00288,516c,公,公
289,A00289,5171,共,共
290,A00290,5175,兵,兵
291,A00291,5177,具,具
292,A00292,5176,其,其
293,A00293,5178,典,典
294,A00294,517c,兼,兼
295,A00295,5180,冀,冀
296,A00296,5189,冉,冉
297,A00297,518a,冊,册
298,A00298,518d,再,再
299,A00299,5192,冒,冒
300,A00300,5191,冑,胄
301,A00301,5195,冕,冕
302,A00302,6700,最,最
303,A00303,5197,冗,冗
304,A00304,51a0,冠,冠
305,A00305,51a4,冤,冤
306,A00306,51a5,冥,冥
307,A00307,51a2,冢,冢
308,A00308,51ac,冬,冬
309,A00309,51b0,冰,冰
310,A00310,51b6,冶,冶
311,A00311,51b7,冷,冷
312,A00312,51bd,冽,冽
313,A00313,51cd,凍,冻
314,A00314,51cc,凌,凌
315,A00315,51c6,准,准
316,A00316,51cb,凋,凋
