流水序,教育部字號,Unicode,常用字,
919,A00919,5a03,娃,娃
920,A00920,59e5,姥,姥
921,A00921,59ea,姪,姪
922,A00922,59da,姚,姚
923,A00923,59e6,姦,奸
924,A00924,5a01,威,威
925,A00925,59fb,姻,姻
926,A00926,5a11,娑,娑
927,A00927,5a18,娘,娘
928,A00928,5a1c,娜,娜
929,A00929,5a1f,娟,娟
930,A00930,5a1b,娛,娱
931,A00931,5a13,娓,娓
932,A00932,59ec,姬,姬
933,A00933,5a20,娠,娠
934,A00934,5a23,娣,娣
935,A00935,5a29,娩,娩
936,A00936,5a25,娥,娥
937,A00937,5a0c,娌,娌
938,A00938,5a36,娶,娶
939,A00939,5a41,婁,娄
940,A00940,5a49,婉,婉
941,A00941,5a66,婦,妇
942,A00942,5a6a,婪,婪
943,A00943,5a40,婀,婀
944,A00944,5a3c,娼,娼
945,A00945,5a62,婢,婢
946,A00946,5a5a,婚,婚
947,A00947,5a46,婆,婆
948,A00948,5a4a,婊,婊
949,A00949,5a77,婷,婷
950,A00950,5a9a,媚,媚
951,A00951,5a7f,婿,婿
952,A00952,5a92,媒,媒
953,A00953,5a9b,媛,媛
954,A00954,5ac1,嫁,嫁
955,A00955,5ac9,嫉,嫉
956,A00956,5acc,嫌,嫌
957,A00957,5abe,媾,媾
958,A00958,5abd,媽,妈
959,A00959,5abc,媼,媪
960,A00960,5ab3,媳,媳
961,A00961,5ac2,嫂,嫂
962,A00962,5ab2,媲,媲
963,A00963,5ae1,嫡,嫡
964,A00964,5ae6,嫦,嫦
965,A00965,5ae9,嫩,嫩
966,A00966,5ad7,嫗,妪
967,A00967,5ad6,嫖,嫖
968,A00968,5ad8,嫘,嫘
969,A00969,5ae3,嫣,嫣
970,A00970,5b09,嬉,嬉
971,A00971,5afb,嫻,娴
972,A00972,5b0b,嬋,婵
973,A00973,5af5,嫵,妩
974,A00974,5b0c,嬌,娇
975,A00975,5b1d,嬝,袅
976,A00976,5b34,嬴,嬴
977,A00977,5b30,嬰,婴
978,A00978,5b2a,嬪,嫔
979,A00979,5b24,嬤,嬷
980,A00980,5b38,嬸,婶
981,A00981,5b40,孀,孀
982,A00982,5b50,子,子
983,A00983,5b51,孑,孑
984,A00984,5b53,孓,孓
985,A00985,5b54,孔,孔
986,A00986,5b55,孕,孕
987,A00987,5b57,字,字
988,A00988,5b58,存,存
989,A00989,5b5d,孝,孝
990,A00990,5b5c,孜,孜
991,A00991,5b5a,孚,孚
992,A00992,5b5f,孟,孟
993,A00993,5b64,孤,孤
994,A00994,5b63,季,季
995,A00995,5b69,孩,孩
996,A00996,5b6b,孫,孙
997,A00997,5b70,孰,孰
998,A00998,5b73,孳,孳
999,A00999,5b71,孱,孱
1000,A01000,5b75,孵,孵
1001,A01001,5b78,學,学
1002,A01002,5b7a,孺,孺
1003,A01003,5b7d,孽,孽
1004,A01004,5b7f,孿,孪
1005,A01005,5b83,它,它
1006,A01006,5b87,宇,宇
1007,A01007,5b88,守,守
1008,A01008,5b85,宅,宅
1009,A01009,5b89,安,安
1010,A01010,5b8c,完,完
1011,A01011,5b8b,宋,宋
1012,A01012,5b8f,宏,宏
1013,A01013,5b97,宗,宗
1014,A01014,5b9a,定,定
1015,A01015,5b98,官,官
1016,A01016,5b9c,宜,宜
1017,A01017,5b99,宙,宙
1018,A01018,5b9b,宛,宛
1019,A01019,5ba3,宣,宣
1020,A01020,5ba6,宦,宦
1021,A01021,5ba4,室,室
1022,A01022,5ba2,客,客
1023,A01023,5ba5,宥,宥
1024,A01024,5bb0,宰,宰
1025,A01025,5bb3,害,害
1026,A01026,5bb6,家,家
1027,A01027,5bb4,宴,宴
1028,A01028,5bae,宮,宫
1029,A01029,5bb5,宵,宵
1030,A01030,5bb9,容,容
1031,A01031,5bb8,宸,宸
1032,A01032,5bc7,寇,寇
1033,A01033,5bc5,寅,寅
1034,A01034,5bc4,寄,寄
1035,A01035,5bc2,寂,寂
1036,A01036,5bbf,宿,宿
1037,A01037,5bc6,密,密
1038,A01038,5bd2,寒,寒
1039,A01039,5bcc,富,富
1040,A01040,5bd3,寓,寓
1041,A01041,5bd0,寐,寐
1042,A01042,5bde,寞,寞
1043,A01043,5be7,寧,宁
1044,A01044,5be1,寡,寡
1045,A01045,5be5,寥,寥
1046,A01046,5be6,實,实
1047,A01047,5be8,寨,寨
1048,A01048,5be2,寢,寝
1049,A01049,5be4,寤,寤
1050,A01050,5bdf,察,察
1051,A01051,5bee,寮,寮
1052,A01052,5bec,寬,宽
1053,A01053,5be9,審,审
1054,A01054,5beb,寫,写
1055,A01055,5bf5,寵,宠
1056,A01056,5bf6,寶,宝
1057,A01057,5bf8,寸,寸
1058,A01058,5bfa,寺,寺
1059,A01059,5c01,封,封
1060,A01060,5c04,射,射
1061,A01061,5c09,尉,尉
1062,A01062,5c08,專,专
1063,A01063,5c07,將,将
1064,A01064,5c0a,尊,尊
1065,A01065,5c0b,尋,寻
1066,A01066,5c0d,對,对
1067,A01067,5c0e,導,导
1068,A01068,5c0f,小,小
1069,A01069,5c11,少,少
1070,A01070,5c16,尖,尖
1071,A01071,5c1a,尚,尚
1072,A01072,5c24,尤,尤
1073,A01073,5c2c,尬,尬
1074,A01074,5c31,就,就
1075,A01075,5c37,尷,尴
1076,A01076,5c38,尸,尸
1077,A01077,5c3a,尺,尺
1078,A01078,5c3c,尼,尼
1079,A01079,5c40,局,局
1080,A01080,5c41,屁,屁
1081,A01081,5c3f,尿,尿
1082,A01082,5c3e,尾,尾
1083,A01083,5c48,屈,屈
1084,A01084,5c45,居,居
1085,A01085,5c46,屆,届
1086,A01086,5c4e,屎,屎
1087,A01087,5c4f,屏,屏
1088,A01088,5c4d,屍,尸
1089,A01089,5c4b,屋,屋
1090,A01090,5c51,屑,屑
1091,A01091,5c55,展,展
1092,A01092,5c50,屐,屐
1093,A01093,5c60,屠,屠
1094,A01094,5c5c,屜,屉
1095,A01095,5c62,屢,屡
1096,A01096,5c64,層,层
1097,A01097,5c65,履,履
1098,A01098,5c6c,屬,属
1099,A01099,5c6f,屯,屯
1100,A01100,5c71,山,山
1101,A01101,5c79,屹,屹
1102,A01102,5c90,岐,岐
1103,A01103,5c91,岑,岑
1104,A01104,5c94,岔,岔
1105,A01105,5c8c,岌,岌
1106,A01106,5cb7,岷,岷
1107,A01107,5ca1,岡,冈
1108,A01108,5cb8,岸,岸
1109,A01109,5ca9,岩,岩
1110,A01110,5cab,岫,岫
1111,A01111,5cb1,岱,岱
1112,A01112,5cb3,岳,岳
1113,A01113,5cd9,峙,峙
1114,A01114,5ced,峭,峭
1115,A01115,5cfd,峽,峡
1116,A01116,5cfb,峻,峻
1117,A01117,5cea,峪,峪
1118,A01118,5ce8,峨,峨
1119,A01119,5cf0,峰,峰
1120,A01120,5cf6,島,岛
1121,A01121,5d01,崁,崁
1122,A01122,5d07,崇,崇
1123,A01123,5d06,崆,崆
1124,A01124,5d0e,崎,崎
1125,A01125,5d1b,崛,崛
1126,A01126,5d16,崖,崖
1127,A01127,5d22,崢,峥
1128,A01128,5d11,崑,昆
1129,A01129,5d29,崩,崩
1130,A01130,5d14,崔,崔
1131,A01131,5d19,崙,仑
1132,A01132,5d4c,嵌,嵌
1133,A01133,5d50,嵐,岚
1134,A01134,5d69,嵩,嵩
1135,A01135,5d84,嶄,崭
1136,A01136,5d87,嶇,岖
1137,A01137,5d9d,嶝,嶝
1138,A01138,5dbc,嶼,屿
1139,A01139,5dba,嶺,岭
1140,A01140,5dbd,嶽,岳
1141,A01141,5dcd,巍,巍
1142,A01142,5dd4,巔,巅
1143,A01143,5dd2,巒,峦
1144,A01144,5dd6,巖,岩
1145,A01145,5ddd,川,川
1146,A01146,5dde,州,州
1147,A01147,5de2,巢,巢
1148,A01148,5de5,工,工
1149,A01149,5de8,巨,巨
1150,A01150,5de7,巧,巧
1151,A01151,5de6,左,左
1152,A01152,5deb,巫,巫
1153,A01153,5dee,差,差
1154,A01154,5df1,己,己
1155,A01155,5df2,已,已
1156,A01156,5df3,巳,巳
1157,A01157,5df4,巴,巴
1158,A01158,5df7,巷,巷
1159,A01159,5dfd,巽,巽
1160,A01160,5dfe,巾,巾
1161,A01161,5e02,市,市
1162,A01162,5e03,布,布
1163,A01163,5e06,帆,帆
1164,A01164,5e0c,希,希
1165,A01165,5e18,帘,帘
1166,A01166,5e1a,帚,帚
1167,A01167,5e16,帖,帖
1168,A01168,5e15,帕,帕
1169,A01169,5e1b,帛,帛
1170,A01170,5e11,帑,帑
1171,A01171,5e1d,帝,帝
1172,A01172,5e25,帥,帅
1173,A01173,5e2d,席,席
1174,A01174,5e2b,師,师
1175,A01175,5e38,常,常
1176,A01176,5e36,帶,带
1177,A01177,5e33,帳,帐
1178,A01178,5e37,帷,帷
1179,A01179,5e45,幅,幅
1180,A01180,5e3d,帽,帽
1181,A01181,5e40,幀,帧
1182,A01182,5e4c,幌,幌
1183,A01183,5e5b,幛,幛
1184,A01184,5e63,幣,币
1185,A01185,5e55,幕,幕
1186,A01186,5e57,幗,帼
1187,A01187,5e54,幔,幔
1188,A01188,5e62,幢,幢
1189,A01189,5e5f,幟,帜
1190,A01190,5e6b,幫,帮
1191,A01191,5e72,干,干
1192,A01192,5e73,平,平
1193,A01193,5e76,并,并
1194,A01194,5e74,年,年
1195,A01195,5e78,幸,幸
1196,A01196,5e79,幹,干
1197,A01197,5e7b,幻,幻
1198,A01198,5e7c,幼,幼
1199,A01199,5e7d,幽,幽
1200,A01200,5e7e,幾,几
1201,A01201,5e8f,序,序
1202,A01202,5e87,庇,庇
1203,A01203,5e8a,床,床
1204,A01204,5e9a,庚,庚
1205,A01205,5e97,店,店
1206,A01206,5e9c,府,府
1207,A01207,5e95,底,底
1208,A01208,5e96,庖,庖
1209,A01209,5ea0,庠,庠
1210,A01210,5ea6,度,度
1211,A01211,5eab,庫,库
1212,A01212,5ead,庭,庭
1213,A01213,5ea7,座,座
1214,A01214,5eb7,康,康
1215,A01215,5eb8,庸,庸
1216,A01216,5eb6,庶,庶
1217,A01217,5eb5,庵,庵
1218,A01218,5ebe,庾,庾
1219,A01219,5eca,廊,廊
1220,A01220,5ec1,廁,厕
1221,A01221,5ec2,廂,厢
1222,A01222,5ec9,廉,廉
1223,A01223,5ec8,廈,厦
1224,A01224,5ed3,廓,廓
1225,A01225,5ed6,廖,廖
1226,A01226,5ee2,廢,废
1227,A01227,5eda,廚,厨
1228,A01228,5edf,廟,庙
1229,A01229,5edd,廝,厮
1230,A01230,5ee3,廣,广
1231,A01231,5ee0,廠,厂
1232,A01232,9f90,龐,庞
1233,A01233,5eec,廬,庐
1234,A01234,5ef3,廳,厅
1235,A01235,5ef7,廷,廷
1236,A01236,5ef6,延,延
1237,A01237,5efa,建,建
1238,A01238,5eff,廿,廿
1239,A01239,5f01,弁,弁
1240,A01240,5f04,弄,弄
1241,A01241,5f08,弈,弈
1242,A01242,5f0a,弊,弊
1243,A01243,5f0f,式,式
1244,A01244,5f12,弒,弑
1245,A01245,5f13,弓,弓
1246,A01246,5f14,弔,吊
1247,A01247,5f15,引,引
1248,A01248,5f18,弘,弘
1249,A01249,5f17,弗,弗
1250,A01250,5f1b,弛,弛
1251,A01251,5f1f,弟,弟
1252,A01252,5f26,弦,弦
1253,A01253,5f27,弧,弧
1254,A01254,5f29,弩,弩
1255,A01255,5f2d,弭,弭
1256,A01256,5f31,弱,弱
1257,A01257,5f35,張,张
1258,A01258,5f37,強,强
1259,A01259,5f3c,弼,弼
1260,A01260,5f46,彆,别
1261,A01261,5f48,彈,弹
1262,A01262,5f4c,彌,弥
1263,A01263,5f4e,彎,弯
1264,A01264,5f57,彗,彗
1265,A01265,5f59,彙,汇
1266,A01266,5f5e,彝,彝
1267,A01267,5f64,彤,彤
1268,A01268,5f62,形,形
1269,A01269,5f65,彥,彦
1270,A01270,5f6c,彬,彬
1271,A01271,5f69,彩,彩
1272,A01272,5f6b,彫,雕
1273,A01273,5f6d,彭,彭
1274,A01274,5f70,彰,彰
1275,A01275,5f71,影,影
1276,A01276,5f77,彷,仿
1277,A01277,5f79,役,役
1278,A01278,5f80,往,往
1279,A01279,5f81,征,征
1280,A01280,5f7f,彿,佛
1281,A01281,5f7c,彼,彼
1282,A01282,5f88,很,很
1283,A01283,5f85,待,待
1284,A01284,5f8a,徊,徊
1285,A01285,5f8b,律,律
1286,A01286,5f87,徇,徇
1287,A01287,5f8c,後,后
1288,A01288,5f92,徒,徒
1289,A01289,5f91,徑,径
1290,A01290,5f90,徐,徐
1291,A01291,5f97,得,得
1292,A01292,5f99,徙,徙
1293,A01293,5f9e,從,从
1294,A01294,5f98,徘,徘
1295,A01295,5fa1,御,御
1296,A01296,5fa9,復,复
1297,A01297,5faa,循,循
1298,A01298,5fa8,徨,徨
1299,A01299,5fac,徬,彷
1300,A01300,5fae,微,微
1301,A01301,5fb9,徹,彻
1302,A01302,5fb7,德,德
1303,A01303,5fb5,徵,征
1304,A01304,5fbd,徽,徽
1305,A01305,5fc3,心,心
1306,A01306,5fc5,必,必
1307,A01307,5fd9,忙,忙
1308,A01308,5fd6,忖,忖
1309,A01309,5fd8,忘,忘
1310,A01310,5fcc,忌,忌
1311,A01311,5fd7,志,志
1312,A01312,5fcd,忍,忍
1313,A01313,5ff1,忱,忱
1314,A01314,5feb,快,快
1315,A01315,5fdd,忝,忝
1316,A01316,5fe0,忠,忠
1317,A01317,5ffd,忽,忽
1318,A01318,5ff5,念,念
1319,A01319,5fff,忿,忿
1320,A01320,600f,怏,怏
1321,A01321,6014,怔,怔
1322,A01322,602f,怯,怯
1323,A01323,6035,怵,怵
1324,A01324,6016,怖,怖
1325,A01325,602a,怪,怪
1326,A01326,6015,怕,怕
1327,A01327,6021,怡,怡
1328,A01328,6027,性,性
1329,A01329,6012,怒,怒
1330,A01330,601d,思,思
1331,A01331,6020,怠,怠
1332,A01332,6025,急,急
1333,A01333,600e,怎,怎
1334,A01334,6028,怨,怨
1335,A01335,604d,恍,恍
1336,A01336,6070,恰,恰
1337,A01337,6068,恨,恨
1338,A01338,6062,恢,恢
1339,A01339,6046,恆,恒
1340,A01340,6043,恃,恃
1341,A01341,606c,恬,恬
1342,A01342,606b,恫,恫
1343,A01343,606a,恪,恪
1344,A01344,6064,恤,恤
1345,A01345,6059,恙,恙
1346,A01346,6063,恣,恣
1347,A01347,6065,恥,耻
1348,A01348,6050,恐,恐
1349,A01349,6055,恕,恕
1350,A01350,606d,恭,恭
1351,A01351,6069,恩,恩
1352,A01352,606f,息,息
1353,A01353,6084,悄,悄
1354,A01354,609f,悟,悟
1355,A01355,609a,悚,悚
1356,A01356,608d,悍,悍
1357,A01357,6094,悔,悔
1358,A01358,608c,悌,悌
1359,A01359,6085,悅,悦
1360,A01360,6096,悖,悖
1361,A01361,607f,恿,恿
1362,A01362,60a3,患,患
1363,A01363,6089,悉,悉
1364,A01364,60a0,悠,悠
1365,A01365,60a8,您,您
1366,A01366,60cb,惋,惋
1367,A01367,60b4,悴,悴
1368,A01368,60e6,惦,惦
1369,A01369,60bd,悽,凄
1370,A01370,60c5,情,情
1371,A01371,60bb,悻,悻
1372,A01372,60b5,悵,怅
1373,A01373,60dc,惜,惜
1374,A01374,60bc,悼,悼
1375,A01375,60d8,惘,惘
1376,A01376,60d5,惕,惕
1377,A01377,60c6,惆,惆
1378,A01378,60df,惟,惟
1379,A01379,60b8,悸,悸
1380,A01380,60da,惚,惚
1381,A01381,60d1,惑,惑
1382,A01382,60e1,惡,恶
1383,A01383,60b2,悲,悲
1384,A01384,60b6,悶,闷
1385,A01385,60e0,惠,惠
1386,A01386,611c,愜,惬
1387,A01387,6123,愣,愣
1388,A01388,60fa,惺,惺
1389,A01389,6115,愕,愕
1390,A01390,60f0,惰,惰
1391,A01391,60fb,惻,恻
1392,A01392,60f4,惴,惴
1393,A01393,6168,慨,慨
1394,A01394,60f1,惱,恼
1395,A01395,610e,愎,愎
1396,A01396,60f6,惶,惶
1397,A01397,6109,愉,愉
1398,A01398,6100,愀,愀
1399,A01399,611a,愚,愚
1400,A01400,610f,意,意
1401,A01401,6148,慈,慈
1402,A01402,611f,感,感
1403,A01403,60f3,想,想
1404,A01404,611b,愛,爱
1405,A01405,60f9,惹,惹
1406,A01406,6101,愁,愁
1407,A01407,6108,愈,愈
1408,A01408,614e,慎,慎
1409,A01409,614c,慌,慌
1410,A01410,6144,慄,栗
1411,A01411,614d,慍,愠
1412,A01412,613e,愾,忾
1413,A01413,6134,愴,怆
1414,A01414,6127,愧,愧
1415,A01415,6147,慇,殷
1416,A01416,613f,愿,愿
1417,A01417,614b,態,态
1418,A01418,6177,慷,慷
1419,A01419,6162,慢,慢
1420,A01420,6163,慣,惯
1421,A01421,615f,慟,恸
1422,A01422,615a,慚,惭
1423,A01423,6158,慘,惨
1424,A01424,6176,慶,庆
1425,A01425,6167,慧,慧
1426,A01426,616e,慮,虑
1427,A01427,615d,慝,慝
1428,A01428,6155,慕,慕
1429,A01429,6182,憂,忧
1430,A01430,617c,慼,戚
1431,A01431,6170,慰,慰
1432,A01432,616b,慫,怂
1433,A01433,617e,慾,欲
1434,A01434,61a7,憧,憧
1435,A01435,6190,憐,怜
1436,A01436,61ab,憫,悯
1437,A01437,618e,憎,憎
1438,A01438,61ac,憬,憬
1439,A01439,619a,憚,惮
1440,A01440,61a4,憤,愤
1441,A01441,6194,憔,憔
1442,A01442,61b2,憲,宪
1443,A01443,6191,憑,凭
1444,A01444,61a9,憩,憩
1445,A01445,618a,憊,惫
1446,A01446,61cd,懍,懔
1447,A01447,61b6,憶,忆
1448,A01448,61be,憾,憾
1449,A01449,61c2,懂,懂
1450,A01450,61ca,懊,懊
1451,A01451,61c8,懈,懈
1452,A01452,61c9,應,应
1453,A01453,61c7,懇,恳
1454,A01454,61e6,懦,懦
1455,A01455,61e3,懣,懑
1456,A01456,61f2,懲,惩
1457,A01457,61f7,懷,怀
1458,A01458,61f6,懶,懒
1459,A01459,61f5,懵,懵
1460,A01460,61f8,懸,悬
1461,A01461,61fa,懺,忏
1462,A01462,61fc,懼,惧
1463,A01463,61fe,懾,慑
1464,A01464,61ff,懿,懿
1465,A01465,6200,戀,恋
1466,A01466,6208,戈,戈
1467,A01467,620a,戊,戊
1468,A01468,620e,戎,戎
1469,A01469,620c,戌,戌
1470,A01470,620d,戍,戍
1471,A01471,6210,成,成
1472,A01472,6212,戒,戒
1473,A01473,6211,我,我
1474,A01474,6216,或,或
1475,A01475,6215,戕,戕
1476,A01476,621a,戚,戚
1477,A01477,621b,戛,戛
1478,A01478,621f,戟,戟
1479,A01479,6221,戡,戡
1480,A01480,6222,戢,戢
1481,A01481,622a,截,截
1482,A01482,622e,戮,戮
1483,A01483,6230,戰,战
1484,A01484,6232,戲,戏
1485,A01485,6234,戴,戴
1486,A01486,6233,戳,戳
1487,A01487,6236,戶,户
1488,A01488,623f,房,房
1489,A01489,623e,戾,戾
1490,A01490,6240,所,所
1491,A01491,6241,扁,扁
1492,A01492,6247,扇,扇
1493,A01493,6248,扈,扈
1494,A01494,6249,扉,扉
1495,A01495,624b,手,手
1496,A01496,624d,才,才
1497,A01497,624e,扎,扎
1498,A01498,6253,打,打
1499,A01499,6254,扔,扔
1500,A01500,6252,扒,扒
1501,A01501,6263,扣,扣
1502,A01502,625b,扛,扛
1503,A01503,6258,托,托
1504,A01504,6284,抄,抄
1505,A01505,6297,抗,抗
1506,A01506,6296,抖,抖
1507,A01507,6280,技,技
1508,A01508,6276,扶,扶
1509,A01509,6289,抉,抉
1510,A01510,626d,扭,扭
1511,A01511,628a,把,把
1512,A01512,627c,扼,扼
1513,A01513,627e,找,找
1514,A01514,6279,批,批
1515,A01515,6273,扳,扳
1516,A01516,6292,抒,抒
1517,A01517,626f,扯,扯
1518,A01518,6298,折,折
1519,A01519,626e,扮,扮
1520,A01520,6295,投,投
1521,A01521,6293,抓,抓
1522,A01522,6291,抑,抑
1523,A01523,627f,承,承
1524,A01524,62c9,拉,拉
1525,A01525,62cc,拌,拌
1526,A01526,62c4,拄,拄
1527,A01527,62bf,抿,抿
1528,A01528,62c2,拂,拂
1529,A01529,62b9,抹,抹
1530,A01530,62d2,拒,拒
1531,A01531,62db,招,招
1532,A01532,62ab,披,披
1533,A01533,62d3,拓,拓
1534,A01534,62d4,拔,拔
1535,A01535,62cb,拋,抛
1536,A01536,62c8,拈,拈
1537,A01537,62a8,抨,抨
1538,A01538,62bd,抽,抽
1539,A01539,62bc,押,押
1540,A01540,62d0,拐,拐
1541,A01541,62d9,拙,拙
1542,A01542,62c7,拇,拇
1543,A01543,62cd,拍,拍
1544,A01544,62b5,抵,抵
1545,A01545,62da,拚,拼
1546,A01546,62b1,抱,抱
1547,A01547,62d8,拘,拘
1548,A01548,62d6,拖,拖
1549,A01549,62d7,拗,拗
1550,A01550,62c6,拆,拆
1551,A01551,62ac,抬,抬
1552,A01552,62ce,拎,拎
1553,A01553,62dc,拜,拜
1554,A01554,6316,挖,挖
1555,A01555,6309,按,按
1556,A01556,62fc,拼,拼
1557,A01557,62ed,拭,拭
1558,A01558,6301,持,持
1559,A01559,62ee,拮,拮
1560,A01560,62fd,拽,拽
1561,A01561,6307,指,指
1562,A01562,62f1,拱,拱
1563,A01563,62f7,拷,拷
1564,A01564,62ef,拯,拯
1565,A01565,62ec,括,括
1566,A01566,62fe,拾,拾
1567,A01567,62f4,拴,拴
1568,A01568,6311,挑,挑
1569,A01569,62f3,拳,拳
1570,A01570,6308,挈,挈
1571,A01571,62ff,拿,拿
1572,A01572,634e,捎,捎
1573,A01573,633e,挾,挟
1574,A01574,632f,振,振
1575,A01575,6355,捕,捕
1576,A01576,6342,捂,捂
1577,A01577,6346,捆,捆
1578,A01578,634f,捏,捏
1579,A01579,6349,捉,捉
1580,A01580,633a,挺,挺
1581,A01581,6350,捐,捐
1582,A01582,633d,挽,挽
1583,A01583,632a,挪,挪
1584,A01584,632b,挫,挫
1585,A01585,6328,挨,挨
1586,A01586,63a0,掠,掠
1587,A01587,63a7,控,控
1588,A01588,6372,捲,卷
1589,A01589,6396,掖,掖
1590,A01590,63a2,探,探
1591,A01591,63a5,接,接
1592,A01592,6377,捷,捷
1593,A01593,6367,捧,捧
1594,A01594,6398,掘,掘
1595,A01595,63aa,措,措
1596,A01596,6371,捱,挨
1597,A01597,63a9,掩,掩
1598,A01598,6389,掉,掉
1599,A01599,6383,掃,扫
1600,A01600,639b,掛,挂
1601,A01601,636b,捫,扪
1602,A01602,63a8,推,推
1603,A01603,6384,掄,抡
1604,A01604,6388,授,授
1605,A01605,6399,掙,挣
1606,A01606,63a1,採,采
1607,A01607,63ac,掬,掬
1608,A01608,6392,排,排
1609,A01609,638f,掏,掏
1610,A01610,6380,掀,掀
1611,A01611,637b,捻,捻
1612,A01612,6369,捩,捩
1613,A01613,6368,捨,舍
1614,A01614,63a3,掣,掣
1615,A01615,638c,掌,掌
1616,A01616,63cf,描,描
1617,A01617,63c0,揀,拣
1618,A01618,63e9,揩,揩
1619,A01619,63c9,揉,揉
1620,A01620,63c6,揆,揆
1621,A01621,63cd,揍,揍
1622,A01622,63d2,插,插
1623,A01623,63e3,揣,揣
1624,A01624,63d0,提,提
1625,A01625,63e1,握,握
1626,A01626,63d6,揖,揖
1627,A01627,63ed,揭,揭
1628,A01628,63ee,揮,挥
1629,A01629,6376,捶,捶
1630,A01630,63f4,援,援
1631,A01631,63ea,揪,揪
1632,A01632,63db,換,换
1633,A01633,6452,摒,摒
1634,A01634,63da,揚,扬
1635,A01635,6413,搓,搓
1636,A01636,643e,搾,榨
1637,A01637,641e,搞,搞
1638,A01638,642a,搪,搪
1639,A01639,642d,搭,搭
1640,A01640,643d,搽,搽
1641,A01641,642c,搬,搬
1642,A01642,640f,搏,搏
1643,A01643,641c,搜,搜
1644,A01644,6414,搔,搔
1645,A01645,640d,損,损
1646,A01646,6436,搶,抢
1647,A01647,6416,搖,摇
1648,A01648,6417,搗,捣
1649,A01649,6487,撇,撇
1650,A01650,6458,摘,摘
1651,A01651,6454,摔,摔
1652,A01652,64a4,撤,撤
1653,A01653,6478,摸,摸
1654,A01654,645f,摟,搂
1655,A01655,647a,摺,折
1656,A01656,6451,摑,掴
1657,A01657,6467,摧,摧
1658,A01658,6469,摩,摩
1659,A01659,646f,摯,挚
1660,A01660,6479,摹,摹
1661,A01661,649e,撞,撞
1662,A01662,64b2,撲,扑
1663,A01663,6488,撈,捞
1664,A01664,6490,撐,撑
1665,A01665,64b0,撰,撰
1666,A01666,64a5,撥,拨
1667,A01667,6493,撓,挠
1668,A01668,6495,撕,撕
1669,A01669,64a9,撩,撩
1670,A01670,6492,撒,撒
1671,A01671,64ae,撮,撮
1672,A01672,64ad,播,播
1673,A01673,64ab,撫,抚
1674,A01674,649a,撚,捻
1675,A01675,64ac,撬,撬
1676,A01676,64c5,擅,擅
1677,A01677,64c1,擁,拥
1678,A01678,64cb,擋,挡
1679,A01679,64bb,撻,挞
1680,A01680,64bc,撼,撼
1681,A01681,64da,據,据
1682,A01682,64c4,擄,掳
1683,A01683,64c7,擇,择
1684,A01684,64c2,擂,擂
1685,A01685,64cd,操,操
1686,A01686,64bf,撿,捡
1687,A01687,64d2,擒,擒
1688,A01688,64d4,擔,担
1689,A01689,64ce,擎,擎
1690,A01690,64ca,擊,击
1691,A01691,64d8,擘,擘
1692,A01692,64e0,擠,挤
1693,A01693,64f0,擰,拧
1694,A01694,64e6,擦,擦
1695,A01695,64ec,擬,拟
1696,A01696,64f1,擱,搁
1697,A01697,64f4,擴,扩
1698,A01698,64f2,擲,掷
1699,A01699,64fe,擾,扰
1700,A01700,6506,攆,撵
1701,A01701,64fa,擺,摆
1702,A01702,64fb,擻,擞
1703,A01703,6500,攀,攀
1704,A01704,650f,攏,拢
1705,A01705,6518,攘,攘
1706,A01706,6514,攔,拦
1707,A01707,6519,攙,搀
1708,A01708,651d,攝,摄
1709,A01709,651c,攜,携
1710,A01710,6524,攤,摊
1711,A01711,6523,攣,挛
1712,A01712,652b,攫,攫
1713,A01713,652a,攪,搅
1714,A01714,652c,攬,揽
1715,A01715,652f,支,支
1716,A01716,6536,收,收
1717,A01717,6539,改,改
1718,A01718,653b,攻,攻
1719,A01719,653e,放,放
1720,A01720,653f,政,政
1721,A01721,6545,故,故
1722,A01722,6548,效,效
1723,A01723,655d,敝,敝
1724,A01724,6556,敖,敖
1725,A01725,6551,救,救
1726,A01726,6559,教,教
1727,A01727,6557,敗,败
1728,A01728,555f,啟,启
1729,A01729,654f,敏,敏
1730,A01730,6558,敘,叙
1731,A01731,655e,敞,敞
1732,A01732,6566,敦,敦
1733,A01733,6562,敢,敢
1734,A01734,6563,散,散
1735,A01735,656c,敬,敬
1736,A01736,6572,敲,敲
1737,A01737,6575,敵,敌
1738,A01738,6577,敷,敷
1739,A01739,6578,數,数
1740,A01740,6574,整,整
1741,A01741,6582,斂,敛
1742,A01742,6583,斃,毙
1743,A01743,6587,文,文
1744,A01744,6591,斑,斑
1745,A01745,6590,斐,斐
1746,A01746,6597,斗,斗
1747,A01747,6599,料,料
1748,A01748,659c,斜,斜
1749,A01749,659f,斟,斟
1750,A01750,65a1,斡,斡
1751,A01751,65a4,斤,斤
1752,A01752,65a5,斥,斥
1753,A01753,65a7,斧,斧
1754,A01754,65ab,斫,斫
1755,A01755,65ac,斬,斩
1756,A01756,65af,斯,斯
1757,A01757,65b0,新,新
1758,A01758,65b7,斷,断
1759,A01759,65b9,方,方
1760,A01760,65bc,於,于
1761,A01761,65bd,施,施
1762,A01762,65c1,旁,旁
1763,A01763,65c5,旅,旅
1764,A01764,65cf,族,族
1765,A01765,65cb,旋,旋
1766,A01766,65cc,旌,旌
1767,A01767,65ce,旎,旎
1768,A01768,65d7,旗,旗
